code,center,lat,lon,status
GSFC,Goddard Space Flight Center,38.991621,-76.852587,green
KSC,Kennedy Space Center,28.524963,-80.650813,green
JPL,Jet Propulsion Laboratory,34.200463,-118.176008,green
DFRC,Dryden Flight Research Center,34.613714,-118.076790,green
GRC,Glenn Research Center,41.415891,-81.861774,red
MSFC,Marshall Space Flight Center,34.646554,-86.674368,red
ARC,Ames Research Center,37.409574,-122.064292,red
LaRC,Langley Research Center,37.092123,-76.376230,orange
JSC,Johnson Space Center,29.551508,-95.092256,orange
SSC,Stennis Space Center,30.363692,-89.600036,orange
